Latitude, Longitude, Data Value
60, -85, -999
60, -84, -999
60, -83, -999
60, -82, -999
60, -81, -999
60, -80, -999
60, -79, -999
60, -78, -999
60, -77, -999
60, -76, -999
60, -75, -999
60, -74, -999
60, -73, -999
60, -72, -999
60, -71, -999
60, -70, -999
60, -69, -999
60, -68, -999
60, -67, -999
60, -66, -999
60, -65, -999
60, -64, -999
60, -63, 68.4427
60, -62, 67.924
60, -61, 63.5358
60, -60, 50.7196
60, -59, 30.3758
60, -58, 14.9028
60, -57, 18.8861
60, -56, 32.4638
60, -55, 44.6803
60, -54, 53.8073
60, -53, 42.9615
60, -52, 20.4129
60, -51, 4.66973
60, -50, 3.367
60, -49, 5.03286
60, -48, 1.56262
60, -47, 8.94513
60, -46, 13.9595
60, -45, 4.91333
60, -44, 20.394
60, -43, 15.8882
60, -42, -24.7732
60, -41, -48.5427
60, -40, -38.9867
60, -39, -29.9935
60, -38, -23.6322
60, -37, -30.8974
60, -36, -50.5815
60, -35, -47.7099
60, -34, -35.7052
60, -33, -36.9235
60, -32, -37.4994
60, -31, -23.8856
60, -30, -0.297709
60, -29, 6.74863
60, -28, 1.08948
60, -27, -3.77041
60, -26, -6.61683
60, -25, -16.8195
60, -24, -18.3345
60, -23, -10.5986
59, -85, -999
59, -84, -999
59, -83, -999
59, -82, -999
59, -81, -999
59, -80, -999
59, -79, -999
59, -78, -999
59, -77, -999
59, -76, -999
59, -75, -999
59, -74, -999
59, -73, -999
59, -72, -999
59, -71, -999
59, -70, -999
59, -69, -999
59, -68, -999
59, -67, -999
59, -66, -999
59, -65, -999
59, -64, -999
59, -63, 141.343
59, -62, 106.597
59, -61, 83.9668
59, -60, 63.1862
59, -59, 46.8803
59, -58, 30.1798
59, -57, 15.6204
59, -56, 8.89792
59, -55, -10.0526
59, -54, -17.9628
59, -53, -13.2578
59, -52, -25.0069
59, -51, -18.819
59, -50, 9.73843
59, -49, 25.1103
59, -48, 12.2232
59, -47, -3.84611
59, -46, -6.83916
59, -45, -16.7446
59, -44, -23.9112
59, -43, -22.8536
59, -42, -32.5046
59, -41, -42.3865
59, -40, -44.5234
59, -39, -37.399
59, -38, -19.9469
59, -37, -13.3708
59, -36, -10.7741
59, -35, -13.8821
59, -34, -23.761
59, -33, -28.0571
59, -32, -21.3922
59, -31, -18.7954
59, -30, -11.5567
59, -29, -5.55704
59, -28, -5.57104
59, -27, -8.1926
59, -26, -19.5112
59, -25, -32.48
59, -24, -42.4919
59, -23, -53.5986
58, -85, -999
58, -84, -999
58, -83, -999
58, -82, -999
58, -81, -999
58, -80, -999
58, -79, -999
58, -78, -999
58, -77, -999
58, -76, -999
58, -75, -999
58, -74, -999
58, -73, -999
58, -72, -999
58, -71, -999
58, -70, -999
58, -69, -999
58, -68, -999
58, -67, -999
58, -66, -999
58, -65, -999
58, -64, -999
58, -63, -999
58, -62, 122.82
58, -61, 102.182
58, -60, 89.1117
58, -59, 70.3778
58, -58, 43.6087
58, -57, 21.1261
58, -56, 13.9814
58, -55, 2.32049
58, -54, -9.92747
58, -53, -18.1927
58, -52, -16.6987
58, -51, 3.00156
58, -50, 7.865
58, -49, 4.88922
58, -48, 1.52562
58, -47, -8.59676
58, -46, -17.1226
58, -45, -16.7234
58, -44, -11.9824
58, -43, -16.0539
58, -42, -35.8365
58, -41, -47.3781
58, -40, -47.3282
58, -39, -38.222
58, -38, -16.4066
58, -37, -14.3108
58, -36, -33.0102
58, -35, -47.1507
58, -34, -44.912
58, -33, -24.161
58, -32, -15.4913
58, -31, -25.8583
58, -30, -31.1252
58, -29, -28.3233
58, -28, -30.6748
58, -27, -27.8285
58, -26, -21.0839
58, -25, -22.0334
58, -24, -38.4544
58, -23, -45.6143
57, -85, -999
57, -84, -999
57, -83, -999
57, -82, -999
