,0
0,-168171456
1,-171456
2,-171456
3,-171456
4,-171456
5,-171456
6,-171456
7,-171456
8,-171456
9,-171456
10,-171456
11,-171456
12,-171456
13,-171456
14,-171456
15,-171456
16,-171456
17,-171456
18,-171456
19,-171456
20,-171456
21,-171456
22,-171456
23,-171456
24,-171456
25,-171456
26,-171456
27,-171456
28,-171456
29,-171456
30,-171456
31,-171456
32,-171456
33,-171456
34,-171456
35,-171456
36,-171456
37,-171456
38,-171456
39,-171456
40,-171456
41,-171456
42,-171456
43,-171456
44,-171456
45,-171456
46,-171456
47,-171456
48,-171456
49,-168448
50,-171456
51,-171456
52,-171456
53,-171456
54,-171456
55,-171456
56,-171456
57,-171456
58,-171456
59,-171456
60,-171456
61,-168448
62,-171456
63,-171456
64,-168448
65,-168448
66,-168448
67,-168448
68,-171456
69,-171456
70,-165440
71,-171456
72,-168448
73,-168448
74,-171456
75,-177472
76,-186496
77,-195520
78,-207552
79,-222592
80,-237632
81,-255680
82,-270720
83,-288768
84,-309824
85,-324864
86,-345920
87,-363968
88,-382016
89,-403072
90,-418112
91,-436160
92,-457216
93,-475264
94,-490304
95,-508352
96,-523392
97,-541440
98,-556480
99,-568512
100,-583552
101,-598592
102,-613632
103,-628672
104,-637696
105,-655744
106,-664768
107,-676800
108,-691840
109,-700864
110,-715904
111,-724928
112,-733952
113,-745984
114,-755008
115,-767040
116,-776064
117,-782080
118,-794112
119,-803136
120,-809152
121,-818176
122,-827200
123,-836224
124,-842240
125,-851264
126,-857280
127,-863296
128,-869312
129,-878336
130,-884352
131,-893376
132,-896384
133,-899392
134,-911424
135,-914432
136,-920448
137,-926464
138,-929472
139,-938496
140,-941504
141,-944512
142,-950528
143,-956544
144,-959552
145,-965568
146,-968576
147,-974592
148,-977600
149,-983616
150,-986624
151,-989632
152,-995648
153,-998656
154,-1001664
155,-1004672
156,-1007680
157,-1010688
158,-1013696
159,-1016704
160,-1025728
161,-1025728
162,-1025728
163,-1028736
164,-1034752
165,-1037760
166,-1040768
167,-1037760
168,-1046784
169,-1046784
170,-1046784
171,-1052800
172,-1055808
173,-1058816
174,-1058816
175,-1061824
176,-1064832
177,-1064832
178,-1067840
179,-1070848
180,-1073856
181,-1076864
182,-1079872
183,-1076864
184,-1082880
185,-1085888
186,-1085888
187,-1085888
188,-1088896
189,-1091904
190,-1091904
191,-1094912
192,-1097920
193,-1097920
194,-1100928
195,-1100928
196,-1100928
197,-1106944
198,-1106944
199,-1106944
200,-1106944
201,-1109952
202,-1112960
203,-1112960
204,-1112960
205,-1118976
206,-1118976
207,-1118976
208,-1118976
209,-1121984
210,-1124992
211,-1124992
212,-1121984
213,-1128000
214,-1131008
215,-1128000
216,-1131008
217,-1131008
218,-1134016
219,-1134016
220,-1131008
221,-1137024
222,-1137024
223,-1140032
224,-1140032
225,-1140032
226,-1143040
227,-1143040
228,-1143040
229,-1143040
230,-1146048
231,-1146048
232,-1146048
233,-1146048
234,-1152064
235,-1152064
236,-1149056
237,-1152064
238,-1152064
239,-1155072
240,-1155072
241,-1152064
242,-1158080
243,-1158080
244,-1158080
245,-1161088
246,-1155072
247,-1161088
248,-1161088
249,-1158080
250,-1164096
251,-1164096
252,-1161088
253,-1164096
254,-1164096
255,-1167104
256,-1167104
257,-1167104
258,-1167104
259,-1167104
260,-1170112
261,-1170112
262,-1167104
263,-1173120
264,-1170112
265,-1170112
266,-1173120
267,-1173120
268,-1176128
269,-1173120
270,-1173120
271,-1179136
272,-1176128
273,-1176128
274,-1176128
275,-1176128
276,-1176128
277,-1179136
278,-1179136
279,-1182144
280,-1182144
281,-1182144
282,-1182144
283,-1182144
284,-1185152
285,-1185152
286,-1182144
287,-1185152
288,-1185152
289,-1185152
290,-1185152
291,-1185152
292,-1191168
293,-1188160
294,-1188160
295,-1188160
296,-1188160
297,-1188160
298,-1191168
299,-1188160
300,-1191168
301,-1191168
302,-1191168
303,-1191168
304,-1191168
305,-1194176
306,-1194176
307,-1191168
308,-1194176
309,-1194176
310,-1194176
311,-1194176
312,-1194176
313,-1197184
314,-1194176
315,-1194176
316,-1197184
317,-1197184
318,-1197184
319,-1197184
320,-1197184
321,-1200192
322,-1200192
323,-1197184
324,-1200192
325,-1200192
326,-1200192
327,-1200192
328,-1197184
329,-1203200
330,-1203200
331,-1200192
332,-1203200
333,-1200192
334,-1203200
335,-1203200
336,-1203200
337,-1206208
338,-1206208
339,-1203200
340,-1206208
341,-1203200
342,-1206208
343,-1206208
344,-1203200
345,-1206208
346,-1206208
347,-1206208
348,-1206208
349,-1206208
350,-1209216
351,-1206208
352,-1206208
353,-1209216
354,-1206208
355,-1209216
356,-1209216
357,-1206208
358,-1212224
359,-1212224
360,-1209216
361,-1212224
362,-1209216
363,-1212224
364,-1212224
365,-1212224
366,-1215232
367,-1212224
368,-1209216
369,-1212224
370,-1212224
371,-1215232
372,-1215232
373,-1212224
374,-1215232
375,-1212224
376,-1215232
377,-1215232
378,-1212224
379,-1215232
380,-1215232
381,-1215232
382,-1218240
383,-1215232
384,-1215232
385,-1215232
386,-1215232
387,-1215232
388,-1218240
389,-1215232
390,-1218240
391,-1215232
392,-1218240
393,-1218240
394,-1212224
395,-1218240
396,-1218240
397,-1215232
398,-1218240
399,-1218240
400,-1221248
401,-1218240
402,-1215232
403,-1221248
404,-1218240
405,-1221248
406,-1221248
407,-1218240
408,-1221248
409,-1221248
410,-1218240
411,-1221248
412,-1221248
413,-1221248
414,-1221248
415,-1221248
416,-1224256
417,-1221248
418,-1218240
419,-1221248
420,-1221248
421,-1224256
422,-1221248
423,-1221248
424,-1224256
425,-1221248
426,-1221248
427,-1224256
428,-1221248
429,-1224256
430,-1224256
431,-1221248
432,-1224256
433,-1224256
434,-1221248
435,-1224256
436,-1224256
437,-1227264
438,-1224256
439,-1221248
440,-1224256
441,-1224256
442,-1227264
443,-1224256
444,-1224256
445,-1227264
446,-1227264
447,-1224256
448,-1224256
449,-1224256
450,-1221248
451,-1227264
452,-1224256
453,-1227264
454,-1224256
455,-1224256
456,-1227264
457,-1227264
458,-1227264
459,-1227264
460,-1227264
461,-1230272
462,-1227264
463,-1227264
464,-1227264
465,-1227264
466,-1230272
467,-1230272
468,-1227264
469,-1230272
470,-1227264
471,-1227264
472,-1230272
473,-1227264
474,-1230272
475,-1230272
476,-1227264
477,-1230272
478,-1230272
479,-1230272
480,-1227264
481,-1230272
482,-1233280
483,-1227264
484,-1230272
485,-1230272
486,-1230272
487,-1230272
488,-1230272
489,-1230272
490,-1233280
491,-1230272
492,-1230272
493,-1233280
494,-1230272
495,-1233280
496,-1233280
497,-1230272
498,-1233280
499,-1233280
500,-1230272
501,-1230272
502,-1230272
503,-1233280
504,-1233280
505,-1230272
506,-1233280
507,-1233280
508,-1233280
509,-1233280
510,-1230272
