,0
0,392
1,-147392
2,-150400
3,-150400
4,-147392
5,-147392
6,-147392
7,-147392
8,-147392
9,-150400
10,-147392
11,-147392
12,-147392
13,-150400
14,-147392
15,-147392
16,-150400
17,-150400
18,-147392
19,-147392
20,-147392
21,-147392
22,-147392
23,-150400
24,-147392
25,-147392
26,-147392
27,-150400
28,-147392
29,-147392
30,-150400
31,-150400
32,-147392
33,-150400
34,-150400
35,-153408
36,-150400
37,-153408
38,-153408
39,-153408
40,-153408
41,-153408
42,-153408
43,-153408
44,-153408
45,-153408
46,-153408
47,-153408
48,-153408
49,-153408
50,-153408
51,-153408
52,-153408
53,-153408
54,-156416
55,-156416
56,-186496
57,-156416
58,-153408
59,-156416
60,-156416
61,-156416
62,-156416
63,-156416
64,-156416
65,-156416
66,-156416
67,-159424
68,-156416
69,-156416
70,-156416
71,-156416
72,-156416
73,-159424
74,-159424
75,-156416
76,-156416
77,-156416
78,-156416
79,-156416
80,-156416
81,-156416
82,-159424
83,-171456
84,-186496
85,-210560
86,-237632
87,-270720
88,-306816
89,-339904
90,-376000
91,-415104
92,-451200
93,-487296
94,-520384
95,-553472
96,-586560
97,-616640
98,-643712
99,-673792
100,-700864
101,-724928
102,-748992
103,-767040
104,-791104
105,-812160
106,-830208
107,-851264
108,-866304
109,-884352
110,-899392
111,-908416
112,-929472
113,-944512
114,-956544
115,-965568
116,-977600
117,-992640
118,-1001664
119,-1010688
120,-1019712
121,-1031744
122,-1037760
123,-1043776
124,-1052800
125,-1061824
126,-1070848
127,-1073856
128,-1082880
129,-1088896
130,-1094912
131,-1100928
132,-1106944
133,-1112960
134,-1118976
135,-1118976
136,-1128000
137,-1131008
138,-1134016
139,-1140032
140,-1143040
141,-1149056
142,-1152064
143,-1152064
144,-1158080
145,-1161088
146,-1164096
147,-1167104
148,-1167104
149,-1173120
150,-1176128
151,-1176128
152,-1182144
153,-1182144
154,-1182144
155,-1188160
156,-1188160
157,-1191168
158,-1194176
159,-1194176
160,-1197184
161,-1200192
162,-1200192
163,-1203200
164,-1203200
165,-1206208
166,-1209216
167,-1206208
168,-1209216
169,-1212224
170,-1212224
171,-1215232
172,-1215232
173,-1218240
174,-1218240
175,-1218240
176,-1221248
177,-1221248
178,-1224256
179,-1224256
180,-1224256
181,-1227264
182,-1227264
183,-1224256
184,-1227264
185,-1227264
186,-1230272
187,-1230272
188,-1230272
189,-1236288
190,-1233280
191,-1233280
192,-1233280
193,-1236288
194,-1236288
195,-1236288
196,-1236288
197,-1242304
198,-1239296
199,-1239296
200,-1239296
201,-1242304
202,-1242304
203,-1242304
204,-1242304
205,-1245312
206,-1245312
207,-1242304
208,-1245312
209,-1245312
210,-1248320
211,-1245312
212,-1245312
213,-1248320
214,-1248320
215,-1245312
216,-1251328
217,-1248320
218,-1251328
219,-1251328
220,-1248320
221,-1251328
222,-1251328
223,-1251328
224,-1251328
225,-1254336
226,-1251328
227,-1254336
228,-1251328
229,-1254336
230,-1254336
231,-1254336
232,-1254336
233,-1254336
234,-1257344
235,-1254336
236,-1254336
237,-1257344
238,-1257344
239,-1254336
240,-1257344
241,-1257344
242,-1257344
243,-1260352
244,-1257344
245,-1260352
246,-1260352
247,-1257344
248,-1260352
249,-1260352
250,-1263360
251,-1260352
252,-1257344
253,-1263360
254,-1263360
255,-1260352
256,-1260352
257,-1260352
258,-1263360
259,-1263360
260,-1263360
261,-1266368
262,-1263360
263,-1263360
264,-1263360
265,-1263360
266,-1266368
267,-1263360
268,-1263360
269,-1266368
270,-1266368
271,-1266368
272,-1266368
273,-1266368
274,-1266368
275,-1266368
276,-1263360
277,-1269376
278,-1266368
279,-1269376
280,-1269376
281,-1266368
282,-1269376
283,-1266368
284,-1266368
285,-1269376
286,-1269376
287,-1269376
288,-1269376
289,-1269376
290,-1269376
